Restaurant Name,Location,Cuisine,Secondary Cuisine,Price Range,Dish,Price
Swad Y,Lucknow,Rajasthani,Mughlai,₹500-₹1000,Chole Bhature,1151
Rasoi,Jaipur,North Indian,Awadhi,₹700-₹1500,Chole Bhature,1616
Dosa,Lucknow,Mughlai,,₹100-₹300,Dahi Vada,1004
Relish,Chennai,Mughlai,Awadhi,₹700-₹1500,Laal Maas,1680
Spice B,Delhi,Mughlai,Coastal,₹500-₹1000,Solkadi,1135
Spice,Pune,Mughlai,Awadhi,₹700-₹1500,Biryani,1140
Relish,Jaipur,Rajasthani,Tandoori,₹700-₹1500,Kosha Mangsho,1341
Feast,Delhi,West Indian,Mughlai,₹100-₹300,Sambar Vada,1878
Feast,Ahmedabad,Hyderabadi,Coastal,₹1000-₹2000,Laal Maas,1907
Feast,Bengaluru,Seafood,Mughlai,₹500-₹1000,Pav Bhaji,1026
Relish,Chennai,North Indian,Awadhi,₹200-₹500,Sambar Vada,1125
Royal,Pune,Bengali,Awadhi,₹500-₹1000,Chole Bhature,1521
Zaiqa,Lucknow,South Indian,Mughlai,₹300-₹700,Haleem,410
Swad,Lucknow,Bengali,Awadhi,₹300-₹700,Kebabs,1039
Zaiqa,Delhi,Bengali,Mughlai,₹700-₹1500,Dahi Vada,1480
Feast,Lucknow,South Indian,Chaat,₹100-₹300,Chole Bhature,814
Royal,Mumbai,Gujarati,Mughlai,₹100-₹300,Masala Dosa,1990
Royal,Pune,Hyderabadi,Mughlai,₹100-₹300,Haleem,767
Swad N,Hyderabad,Rajasthani,Mughlai,₹700-₹1500,Dhokla,1688
Feast E,Mumbai,Street Food,,₹1000-₹2000,Pav Bhaji,722
Rasoi,Mumbai,Rajasthani,Coastal,₹200-₹500,Gulab Jamun,921
Swad,Lucknow,North Indian,Mughlai,₹200-₹500,Prawn Curry,1217
Rasoi I,Hyderabad,North Indian,Mughlai,₹100-₹300,Solkadi,290
Swad,Jaipur,Hyderabadi,Tandoori,₹200-₹500,Haleem,1019
Swad F,Lucknow,Hyderabadi,Coastal,₹100-₹300,Sambar Vada,1162
Swad,Delhi,South Indian,Chaat,₹700-₹1500,Prawn Curry,104
Royal,Kolkata,Rajasthani,Awadhi,₹300-₹700,Kebabs,1643
Relish,Hyderabad,Rajasthani,Coastal,₹100-₹300,Plain Dosa,1945
Zaiqa F,Chennai,North Indian,Tandoori,₹300-₹700,Filter Coffee,1763
Spice,Pune,Bengali,Tandoori,₹700-₹1500,Butter Chicken,462
Rasoi,Bengaluru,Seafood,Tandoori,₹700-₹1500,Laal Maas,518
Swad S,Pune,Street Food,Awadhi,₹1000-₹2000,Dahi Vada,1982
Dosa,Delhi,Hyderabadi,Awadhi,₹300-₹700,Biryani,1596
Dosa,Kolkata,North Indian,Mughlai,₹500-₹1000,Pav Bhaji,216
Zaiqa,Pune,Hyderabadi,Tandoori,₹100-₹300,Masala Dosa,1033
Dosa I,Ahmedabad,Gujarati,Coastal,₹100-₹300,Laal Maas,594
Flavors,Bengaluru,North Indian,Awadhi,₹200-₹500,Laal Maas,271
Swad G,Jaipur,Rajasthani,Chaat,₹300-₹700,Prawn Curry,566
Relish,Chennai,West Indian,Chaat,₹200-₹500,Kebabs,765
Spice,Ahmedabad,North Indian,Coastal,₹500-₹1000,Kebabs,887
Swad,Chennai,Hyderabadi,Awadhi,₹100-₹300,Plain Dosa,1175
Rasoi W,Ahmedabad,West Indian,Awadhi,₹500-₹1000,Gulab Jamun,847
Dosa,Jaipur,South Indian,Awadhi,₹200-₹500,Biryani,1925
Zaiqa,Bengaluru,Bengali,,₹700-₹1500,Laal Maas,1645
Zaiqa A,Mumbai,Bengali,Coastal,₹1000-₹2000,Kosha Mangsho,1054
Spice K,Pune,Rajasthani,Tandoori,₹100-₹300,Butter Chicken,680
Feast,Lucknow,Gujarati,Awadhi,₹700-₹1500,Dahi Vada,1627
Swad,Hyderabad,West Indian,Mughlai,₹300-₹700,Dhokla,1159
Feast G,Delhi,Gujarati,Tandoori,₹100-₹300,Solkadi,144
Dosa,Delhi,South Indian,Mughlai,₹700-₹1500,Butter Chicken,1461
Zaiqa,Chennai,Mughlai,Chaat,₹500-₹1000,Masala Dosa,950
Rasoi,Kolkata,South Indian,Tandoori,₹300-₹700,Gulab Jamun,1887
Royal,Ahmedabad,Rajasthani,Mughlai,₹700-₹1500,Dhokla,222
Swad R,Delhi,Rajasthani,Coastal,₹200-₹500,Kebabs,1528
Swad C,Bengaluru,Seafood,,₹500-₹1000,Haleem,492
Royal,Lucknow,South Indian,Awadhi,₹300-₹700,Kosha Mangsho,1628
Swad,Pune,North Indian,Tandoori,₹300-₹700,Haleem,1362
Royal,Kolkata,Street Food,Chaat,₹700-₹1500,Chole Bhature,526
Relish,Lucknow,Mughlai,Tandoori,₹300-₹700,Gulab Jamun,638
Royal I,Chennai,Bengali,Tandoori,₹1000-₹2000,Kosha Mangsho,734
Feast A,Pune,Street Food,Tandoori,₹100-₹300,Masala Dosa,1306
Spice,Pune,Mughlai,Awadhi,₹200-₹500,Biryani,1567
Flavors,Kolkata,Mughlai,Mughlai,₹700-₹1500,Kebabs,1959
Zaiqa,Pune,Mughlai,Chaat,₹1000-₹2000,Filter Coffee,787
Swad,Jaipur,West Indian,,₹100-₹300,Dhokla,461
Zaiqa B,Mumbai,Hyderabadi,Mughlai,₹700-₹1500,Biryani,1414
Feast,Mumbai,West Indian,Awadhi,₹500-₹1000,Prawn Curry,1035
Zaiqa,Bengaluru,Bengali,Mughlai,₹100-₹300,Kebabs,904
Zaiqa,Jaipur,Mughlai,Chaat,₹1000-₹2000,Dhokla,626
Spice,Pune,West Indian,Coastal,₹200-₹500,Plain Dosa,842
Spice,Lucknow,Hyderabadi,,₹300-₹700,Chole Bhature,1234
Spice,Kolkata,Gujarati,Tandoori,₹1000-₹2000,Plain Dosa,1360
Flavors H,Jaipur,Seafood,Coastal,₹200-₹500,Sambar Vada,303
Royal C,Delhi,Bengali,Mughlai,₹1000-₹2000,Kosha Mangsho,111
Relish,Lucknow,Bengali,Coastal,₹500-₹1000,Dhokla,264
Flavors,Kolkata,West Indian,Chaat,₹1000-₹2000,Pav Bhaji,885
Rasoi,Mumbai,Mughlai,Coastal,₹500-₹1000,Solkadi,886
Rasoi,Chennai,Bengali,,₹700-₹1500,Prawn Curry,1173
Taj,Chennai,North Indian,Tandoori,₹1000-₹2000,Laal Maas,575
Swad,Mumbai,Bengali,Chaat,₹100-₹300,Haleem,511
Flavors Q,Hyderabad,West Indian,,₹700-₹1500,Chole Bhature,494
Feast,Bengaluru,West Indian,Coastal,₹300-₹700,Sambar Vada,928
Feast,Bengaluru,Seafood,,₹500-₹1000,Kebabs,1545
Taj,Delhi,West Indian,Tandoori,₹1000-₹2000,Butter Chicken,1850
Feast,Mumbai,Bengali,Awadhi,₹300-₹700,Prawn Curry,1609
Flavors O,Jaipur,Mughlai,Mughlai,₹100-₹300,Kebabs,1543
Spice,Kolkata,Rajasthani,Awadhi,₹1000-₹2000,Biryani,868
Dosa,Kolkata,Bengali,Mughlai,₹200-₹500,Butter Chicken,920
Royal D,Ahmedabad,Mughlai,,₹200-₹500,Dhokla,219
Rasoi M,Lucknow,Seafood,Chaat,₹300-₹700,Chole Bhature,555
Flavors Y,Lucknow,Street Food,Chaat,₹200-₹500,Sambar Vada,1934
Rasoi,Kolkata,Bengali,Awadhi,₹200-₹500,Laal Maas,1240
Dosa,Delhi,North Indian,Mughlai,₹100-₹300,Dahi Vada,999
Spice,Kolkata,Mughlai,,₹700-₹1500,Prawn Curry,287
Dosa,Bengaluru,Mughlai,,₹300-₹700,Solkadi,1200
Spice,Kolkata,Rajasthani,Coastal,₹500-₹1000,Filter Coffee,1728
Rasoi,Pune,Bengali,Coastal,₹500-₹1000,Haleem,1906
Taj,Chennai,Gujarati,,₹300-₹700,Kosha Mangsho,1136
Feast Y,Ahmedabad,South Indian,Chaat,₹1000-₹2000,Biryani,730
Dosa N,Hyderabad,Rajasthani,Tandoori,₹200-₹500,Pav Bhaji,1768
Relish,Ahmedabad,Hyderabadi,Coastal,₹1000-₹2000,Masala Dosa,682
Spice T,Pune,West Indian,Mughlai,₹1000-₹2000,Dhokla,1954
Swad G,Ahmedabad,North Indian,Mughlai,₹300-₹700,Sambar Vada,2000
Flavors,Chennai,Street Food,Chaat,₹300-₹700,Chole Bhature,730
Relish,Hyderabad,Bengali,Coastal,₹100-₹300,Biryani,518
Feast I,Lucknow,Rajasthani,,₹200-₹500,Prawn Curry,381
Feast,Bengaluru,North Indian,Chaat,₹700-₹1500,Prawn Curry,1237
Zaiqa,Hyderabad,North Indian,,₹200-₹500,Masala Dosa,559
Zaiqa,Jaipur,South Indian,Mughlai,₹200-₹500,Prawn Curry,1890
Rasoi,Lucknow,South Indian,Tandoori,₹300-₹700,Sambar Vada,73
Rasoi Q,Hyderabad,Seafood,,₹1000-₹2000,Laal Maas,1230
Royal,Pune,Hyderabadi,,₹300-₹700,Dahi Vada,1590
Spice,Ahmedabad,Seafood,Tandoori,₹300-₹700,Dahi Vada,294
Zaiqa B,Bengaluru,Street Food,Tandoori,₹100-₹300,Pav Bhaji,583
Relish,Kolkata,North Indian,,₹200-₹500,Prawn Curry,725
Royal,Bengaluru,West Indian,Tandoori,₹1000-₹2000,Solkadi,416
Relish X,Hyderabad,Street Food,,₹200-₹500,Pav Bhaji,1117
Flavors,Jaipur,Street Food,Mughlai,₹200-₹500,Plain Dosa,962
Swad I,Mumbai,Gujarati,,₹100-₹300,Solkadi,194
Swad,Hyderabad,Mughlai,,₹1000-₹2000,Kebabs,1693
Dosa,Kolkata,Hyderabadi,,₹100-₹300,Chicken Tikka,360
Relish T,Chennai,South Indian,Chaat,₹700-₹1500,Kebabs,1722
Swad,Lucknow,Seafood,,₹100-₹300,Dhokla,1376
Dosa H,Jaipur,North Indian,Coastal,₹100-₹300,Masala Dosa,364
Relish,Bengaluru,North Indian,Coastal,₹300-₹700,Dahi Vada,1257
Swad,Delhi,Hyderabadi,Awadhi,₹300-₹700,Filter Coffee,1963
Relish,Mumbai,North Indian,Tandoori,₹100-₹300,Gulab Jamun,1695
Swad,Kolkata,North Indian,Chaat,₹1000-₹2000,Chicken Tikka,1848
Relish,Mumbai,Mughlai,,₹300-₹700,Haleem,456
Feast,Pune,South Indian,Chaat,₹1000-₹2000,Laal Maas,1308
Royal,Jaipur,Gujarati,Awadhi,₹1000-₹2000,Masala Dosa,62
Dosa,Ahmedabad,Seafood,Mughlai,₹1000-₹2000,Dhokla,451
Royal,Bengaluru,Rajasthani,,₹700-₹1500,Kebabs,272
Dosa,Jaipur,West Indian,,₹1000-₹2000,Butter Chicken,306
Dosa,Pune,Gujarati,,₹700-₹1500,Butter Chicken,1000
Dosa G,Ahmedabad,West Indian,Coastal,₹300-₹700,Chole Bhature,1744
Feast,Lucknow,South Indian,,₹1000-₹2000,Butter Chicken,248
Dosa,Delhi,West Indian,Chaat,₹500-₹1000,Sambar Vada,1862
Dosa,Delhi,Gujarati,Chaat,₹100-₹300,Laal Maas,1058
Royal,Hyderabad,West Indian,,₹1000-₹2000,Dhokla,369
Feast,Ahmedabad,West Indian,,₹100-₹300,Sambar Vada,1362
Taj Z,Delhi,Rajasthani,Awadhi,₹700-₹1500,Prawn Curry,731
Feast P,Pune,Street Food,Tandoori,₹100-₹300,Pav Bhaji,634
Flavors,Delhi,Hyderabadi,Coastal,₹300-₹700,Dhokla,1405
Dosa C,Ahmedabad,Bengali,Mughlai,₹1000-₹2000,Chole Bhature,517
Zaiqa,Ahmedabad,Street Food,Coastal,₹1000-₹2000,Solkadi,1351
Flavors,Lucknow,Street Food,,₹1000-₹2000,Biryani,801
Relish,Ahmedabad,Hyderabadi,Coastal,₹500-₹1000,Filter Coffee,377
Zaiqa,Ahmedabad,South Indian,Tandoori,₹1000-₹2000,Dahi Vada,1291
Swad,Kolkata,Hyderabadi,Coastal,₹500-₹1000,Chicken Tikka,624
Taj Q,Hyderabad,South Indian,Mughlai,₹500-₹1000,Chole Bhature,292
Spice F,Hyderabad,Rajasthani,Chaat,₹700-₹1500,Sambar Vada,1599
Rasoi D,Lucknow,Bengali,Tandoori,₹1000-₹2000,Dahi Vada,68
Flavors Q,Kolkata,West Indian,,₹500-₹1000,Filter Coffee,251
Taj,Bengaluru,Seafood,Awadhi,₹700-₹1500,Pav Bhaji,1731
Taj,Chennai,Gujarati,Chaat,₹1000-₹2000,Dhokla,138
Zaiqa,Lucknow,South Indian,Coastal,₹500-₹1000,Laal Maas,1336
Feast,Ahmedabad,Hyderabadi,Awadhi,₹100-₹300,Plain Dosa,1362
Royal,Lucknow,Seafood,,₹700-₹1500,Plain Dosa,1900
Rasoi D,Bengaluru,Mughlai,Coastal,₹700-₹1500,Haleem,492
Flavors,Chennai,Seafood,Coastal,₹300-₹700,Prawn Curry,312
Relish P,Hyderabad,South Indian,,₹700-₹1500,Kosha Mangsho,308
Zaiqa,Kolkata,Gujarati,Awadhi,₹500-₹1000,Gulab Jamun,1443
Flavors,Kolkata,Hyderabadi,,₹500-₹1000,Biryani,1505
Zaiqa,Lucknow,Hyderabadi,Coastal,₹500-₹1000,Masala Dosa,1404
Feast,Mumbai,South Indian,Coastal,₹1000-₹2000,Sambar Vada,1463
Flavors,Mumbai,Gujarati,Chaat,₹500-₹1000,Prawn Curry,1701
Relish,Bengaluru,Mughlai,Awadhi,₹100-₹300,Dhokla,1956
Dosa,Hyderabad,Gujarati,Coastal,₹200-₹500,Sambar Vada,592
Taj X,Hyderabad,Rajasthani,,₹500-₹1000,Butter Chicken,261
Rasoi,Ahmedabad,Hyderabadi,Chaat,₹200-₹500,Dahi Vada,415
Dosa,Pune,North Indian,,₹300-₹700,Haleem,155
Rasoi,Hyderabad,Gujarati,Mughlai,₹500-₹1000,Prawn Curry,1068
Spice,Mumbai,North Indian,,₹100-₹300,Pav Bhaji,1454
Relish,Chennai,Mughlai,Coastal,₹500-₹1000,Sambar Vada,647
Dosa X,Pune,Street Food,Awadhi,₹100-₹300,Laal Maas,985
Flavors P,Kolkata,West Indian,,₹300-₹700,Kosha Mangsho,1751
Royal,Jaipur,Street Food,,₹700-₹1500,Plain Dosa,925
Spice K,Chennai,Rajasthani,Mughlai,₹1000-₹2000,Chicken Tikka,1288
Flavors,Pune,West Indian,Coastal,₹300-₹700,Solkadi,734
Flavors,Ahmedabad,Street Food,Mughlai,₹300-₹700,Masala Dosa,1585
Feast,Bengaluru,Rajasthani,,₹100-₹300,Kosha Mangsho,198
Rasoi,Ahmedabad,Street Food,,₹300-₹700,Kebabs,225
Taj,Pune,Rajasthani,Mughlai,₹200-₹500,Chicken Tikka,505
Taj,Lucknow,Gujarati,,₹700-₹1500,Chole Bhature,955
Feast,Bengaluru,Seafood,Chaat,₹1000-₹2000,Butter Chicken,376
Spice,Chennai,South Indian,Mughlai,₹300-₹700,Sambar Vada,250
Swad,Delhi,Bengali,Mughlai,₹500-₹1000,Laal Maas,655
Flavors,Chennai,South Indian,,₹200-₹500,Chole Bhature,1340
Feast H,Mumbai,Street Food,Awadhi,₹700-₹1500,Masala Dosa,1088
Dosa,Jaipur,Bengali,Coastal,₹1000-₹2000,Kebabs,1637
Royal,Lucknow,Rajasthani,Awadhi,₹1000-₹2000,Plain Dosa,479
Zaiqa,Lucknow,West Indian,,₹100-₹300,Masala Dosa,1059
Spice,Mumbai,Gujarati,Awadhi,₹700-₹1500,Gulab Jamun,996
Flavors,Lucknow,Seafood,Tandoori,₹300-₹700,Prawn Curry,1723
Taj,Delhi,North Indian,,₹200-₹500,Haleem,213
Royal L,Lucknow,South Indian,,₹500-₹1000,Solkadi,1347
Relish,Delhi,North Indian,,₹700-₹1500,Masala Dosa,921
Relish U,Hyderabad,Hyderabadi,,₹500-₹1000,Filter Coffee,1013
Dosa,Ahmedabad,Rajasthani,Coastal,₹200-₹500,Gulab Jamun,1213
Spice C,Kolkata,Street Food,Tandoori,₹100-₹300,Filter Coffee,1766
Dosa,Lucknow,North Indian,Chaat,₹700-₹1500,Prawn Curry,166
Dosa X,Hyderabad,West Indian,Tandoori,₹700-₹1500,Chicken Tikka,409
Zaiqa,Delhi,Rajasthani,,₹200-₹500,Plain Dosa,536
Flavors,Kolkata,West Indian,Mughlai,₹700-₹1500,Gulab Jamun,1412
